,state_name,state_abbreviation,county_name,county_fips_code,studyyear,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi,me,fme,mme,mhi_2018,me_2018,fme_2018,mme_2018,totalpop,onerace,onerace_w,onerace_b,onerace_i,onerace_a,onerace_h,onerace_other,tworaces,hispanic,households,h_under6_bothwork,h_under6_fwork,h_under6_mwork,h_under6_singlem,h_6to17_bothwork,h_6to17_fwork,h_6to17_mwork,h_6to17_singlem,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,school_age_center_cost,school_age_family_cost,_75csa,_75fccsa,infant_center_cost,toddler_center_cost,preschool_center_cost,_75cinfant,_75ctoddler,_75cpreschool,infant_family_cost,toddler_family_cost,preschool_family_cost,_75fccinfant,_75fcctoddler,_75fccpreschool,pop_size,DollarAdj2018Factor,infant_center_cost_2018_dollars,toddler_center_cost_2018_dollars,preschool_center_cost_2018_dollars,school_age_center_cost_2018_dollars,infant_family_cost_2018_dollars,toddler_family_cost_2018_dollars,preschool_family_cost_2018_dollars,school_age_family_cost_2018_dollars,infant_center_cost_2018_dollars_pct_MHI_2018,toddler_center_cost_2018_dollars_pct_MHI_2018,preschool_center_cost_2018_dollars_pct_MHI_2018,school_age_center_cost_2018_dollars_pct_MHI_2018,infant_family_cost_2018_dollars_pct_MHI_2018,toddler_family_cost_2018_dollars_pct_MHI_2018,preschool_family_cost_2018_dollars_pct_MHI_2018,school_age_family_cost_2018_dollars_pct_MHI_2018
18501,Nebraska,NE,Dundy County,31057,2008,2.73,0.0,5.64,2.92,0.0,6.18,88.15,74.51,94.67,52.36,87.92,5.67,9.33,37086.44,25125.89,22298.56,29902.78,42649.41,28894.77,25643.34,34388.19,1978,99.73,97.34,0.0,0.27,0.06,0.27,1.88,0.27,4.36,876,55,12,11,1.0,197,36,34,22.0,38.74,41.41,35.4,11.95,2.49,23.77,19.14,9.4,31.32,21.11,35.73,2.84,9.06,10.97,6.67,,,,,,,,,,,,,,,,,1-100K,1.1500001078561328,,,,,,,,,,,,,,,,
30415,Texas,TX,Wichita County,48485,2009,5.55,5.6,5.51,4.8,4.8,4.7,72.7,67.4,80.24,62.6,77.0,11.5,14.7,42999.0,22920.0,18946.0,28688.0,50308.83,26816.4,22166.82,33564.96,128464,97.6,79.5,10.6,0.9,2.2,0.1,4.4,2.4,14.8,49168,3985,2525,206,3111.0,9447,3626,339,4040.0,29.99,26.45,33.67,20.39,16.7,24.22,26.08,17.82,34.65,10.68,20.19,0.8,12.86,18.84,6.65,79.05,66.63,94.33,80.8,96.4,88.35,82.75,113.2,104.58,98.43,86.58,78.2,72.1,102.63,93.42,86.83,100K-500K,1.1700000000000002,5864.976000000001,5375.214000000001,5034.51,4809.402,5267.5272,4757.688000000001,4386.564,4053.7692,11.657945533617061,10.684434521733065,10.007209469987673,9.559757203655899,10.47038303216354,9.456964115444547,8.71927254122189,8.057768785320588
21830,North Carolina,NC,Watauga County,37189,2015,9.47,7.88,10.81,7.3,5.7,8.7,66.3,66.5,71.5,75.2,74.4,10.6,31.4,37656.0,12400.0,12249.0,12489.0,39915.36,13144.0,12983.94,13238.34,52240,97.5,94.1,1.1,0.3,0.9,0.0,1.0,2.5,3.5,19996,1007,554,29,395.0,1845,1142,41,1006.0,35.37,32.62,38.51,25.55,25.18,25.97,24.59,17.29,32.94,8.36,15.45,0.26,6.13,9.45,2.33,133.25,115.64,159.73,134.97,197.29,182.62,172.71,236.5,218.92,207.03,149.8,139.4,133.67,174.84,162.7,156.01,1-100K,1.06,10874.6248,10066.0144,9519.7752,7344.740000000001,8256.976,7683.728000000001,7367.890399999999,6374.0768,27.244210749946884,25.21839813044402,23.849904397705547,18.400786063309965,20.68621202464415,19.25005311238581,18.458784788612704,15.96898236668791
25976,South Carolina,SC,York County,45091,2014,10.4,9.89,10.93,9.7,9.5,10.0,74.1,73.5,79.13,67.37,86.5,10.9,14.3,53568.0,31682.0,25829.0,39801.0,56782.08,33582.92,27378.74,42189.06,235285,97.5,75.7,18.6,0.6,1.5,0.0,1.0,2.5,4.7,87905,7509,3900,316,4937.0,18521,7254,735,10158.0,35.98,32.97,39.18,15.97,13.2,18.9,26.66,19.72,34.04,8.28,15.13,1.01,13.11,18.98,6.87,107.5,72.5,135.0,100.0,131.25,131.25,112.5,146.0,146.0,136.73,92.5,92.5,100.0,120.0,120.0,113.0,100K-500K,1.06,7234.5,7234.5,6201.0,5925.400000000001,5098.6,5098.6,5512.0,3996.2000000000003,12.740815412186379,12.740815412186379,10.920698924731182,10.435334528076465,8.979241338112306,8.979241338112306,9.707287933094385,7.0377837514934285
31737,Virginia,VA,Orange County,51137,2011,9.24,6.52,11.68,9.0,6.3,11.4,71.5,67.0,69.06,66.05,81.4,8.6,11.5,56837.0,31409.0,24077.0,40045.0,63657.44,35178.08,26966.24,44850.4,33235,98.1,83.2,13.1,0.1,0.7,0.0,1.1,1.9,3.4,12614,770,669,133,480.0,2064,1393,123,865.0,32.48,32.27,32.7,16.32,9.98,23.0,23.29,10.39,36.89,15.88,29.33,1.7,12.03,18.03,5.71,147.5,109.0,163.0,114.0,185.0,155.0,155.0,217.5,169.5,169.5,125.0,110.0,110.0,125.5,125.0,125.0,1-100K,1.12,10774.400000000001,9027.2,9027.2,8590.400000000001,7280.000000000001,6406.400000000001,6406.400000000001,6348.160000000001,16.92559424318666,14.180903284832064,14.180903284832064,13.494730545243417,11.436212326477472,10.063866847300176,10.063866847300176,9.972377148688356
5780,Georgia,GA,Towns County,13281,2014,12.2,11.77,12.66,10.3,9.2,11.5,64.3,95.4,85.55,82.03,70.1,9.5,16.9,37425.0,16367.0,12281.0,20845.0,39670.5,17349.02,13017.86,22095.7,10670,98.1,95.9,1.0,0.6,0.2,0.0,0.4,1.9,2.3,4299,346,35,0,93.0,536,76,12,219.0,30.19,26.46,33.42,20.61,17.17,23.58,24.96,11.21,36.83,11.92,25.07,0.58,12.31,20.09,5.6,,,,,,,,,,,,,,,,,1-100K,1.06,,,,,,,,,,,,,,,,
25334,Pennsylvania,PA,Union County,42119,2010,6.03,4.55,7.27,5.3,3.9,6.6,71.2,68.0,71.29,48.43,57.8,8.1,12.6,45474.0,24215.0,19094.0,30437.0,52749.84,28089.4,22149.04,35306.92,44866,98.3,87.1,7.4,0.2,1.2,0.0,2.3,1.7,5.1,14963,1073,825,75,355.0,2718,1096,192,993.0,35.15,32.5,38.25,17.47,12.69,23.07,21.16,12.51,31.3,11.04,19.63,0.98,15.18,22.67,6.4,128.0,100.0,140.0,100.0,138.75,130.0,120.0,163.15,147.5,132.5,110.0,105.0,110.0,136.25,135.75,150.0,1-100K,1.16,8369.4,7841.599999999999,7238.4,7720.959999999999,6635.2,6333.599999999999,6635.2,6032.0,15.866209262435676,14.865637507146943,13.7221269296741,14.636935391652372,12.578616352201259,12.006861063464838,12.578616352201259,11.435105774728417
19367,Nevada,NV,Storey County,32029,2016,4.09,2.88,5.27,4.4,2.6,6.0,71.6,100.0,92.8,100.0,78.5,2.6,7.2,65508.0,45817.0,30179.0,56385.0,68783.4,48107.85,31687.95,59204.25,3941,97.3,92.1,0.4,1.9,2.1,0.2,0.6,2.7,6.2,1752,96,0,0,22.0,160,11,0,112.0,29.98,27.29,32.68,15.32,12.99,17.65,32.49,18.67,46.38,13.68,27.29,0.0,8.53,13.76,3.29,154.17,,196.89,,175.6,175.6,175.6,203.78,203.78,203.78,,,,,,,1-100K,1.0499999999999998,9587.759999999997,9587.759999999997,9587.759999999997,8417.681999999997,,,,,13.93906087806069,13.93906087806069,13.93906087806069,12.237955669536541,,,,
5548,Georgia,GA,Quitman County,13239,2013,14.38,9.98,19.78,15.2,10.0,21.9,63.1,87.3,78.63,100.0,48.1,18.8,26.4,31068.0,20547.0,19534.0,22031.0,33553.44,22190.76,21096.72,23793.48,2396,99.2,42.3,56.4,0.1,0.3,0.0,0.0,0.8,0.0,932,29,10,28,75.0,51,63,136,97.0,15.04,6.58,21.17,16.5,14.25,18.13,37.23,26.04,45.34,7.59,14.59,2.51,23.65,38.54,12.85,,,,,,,,,,,,,,,,,1-100K,1.08,,,,,,,,,,,,,,,,
25526,South Carolina,SC,Bamberg County,45009,2015,10.93,9.77,12.08,11.3,9.8,12.7,62.1,57.0,77.3,71.4,66.3,18.1,28.2,31314.0,24746.0,20276.0,30440.0,33192.84,26230.76,21492.56,32266.4,15432,99.6,35.8,62.3,0.1,0.4,0.0,1.0,0.4,1.3,5921,229,117,22,451.0,546,279,205,1002.0,29.15,25.43,32.77,23.27,18.94,27.48,16.57,8.32,24.62,9.46,17.88,1.25,21.55,29.42,13.87,100.0,75.0,130.0,100.0,137.5,137.5,120.0,159.0,159.0,145.0,100.0,100.0,100.0,125.0,125.0,117.0,1-100K,1.0599999999999998,7578.999999999999,7578.999999999999,6614.399999999999,5511.999999999999,5511.999999999999,5511.999999999999,5511.999999999999,4133.999999999999,22.833237529539502,22.833237529539502,19.92718911668902,16.605990930574183,16.605990930574183,16.605990930574183,16.605990930574183,12.454493197930637
28192,Texas,TX,Coke County,48081,2008,9.01,3.94,12.52,9.41,4.45,13.09,68.57,38.2,96.84,99.85,86.01,11.12,18.24,32898.33,20277.67,17696.22,22895.67,37833.08,23319.32,20350.66,26330.02,3532,99.13,93.69,0.92,1.07,0.37,0.0,3.08,0.87,19.21,1466,40,30,0,59.0,238,124,10,69.0,31.79,23.03,40.77,19.53,14.01,25.19,20.54,12.99,28.3,14.15,27.3,0.67,13.99,22.68,5.07,,,,,,,,,,,,,,,,,1-100K,1.1500000151983398,,,,,,,,,,,,,,,,
11489,Kentucky,KY,Henry County,21103,2014,8.6,10.05,7.2,7.8,8.8,6.9,70.4,66.8,83.87,63.29,80.2,14.2,17.6,44764.0,26491.0,21227.0,33285.0,47449.84,28080.46,22500.62,35282.1,15427,98.6,93.3,3.3,0.3,0.0,0.0,1.8,1.4,3.2,5984,305,207,10,297.0,970,311,96,683.0,26.75,22.63,31.28,20.13,14.07,26.79,19.88,10.33,30.39,11.35,20.33,1.48,21.88,32.63,10.06,101.7,89.89,120.0,105.0,127.13,113.99,113.99,147.5,130.63,130.63,108.16,98.86,98.86,129.38,114.38,114.38,1-100K,1.0599999999999998,7007.405599999999,6283.128799999999,6283.128799999999,5605.704,5961.779199999999,5449.163199999999,5449.163199999999,4954.736799999999,14.768027879546064,13.241622732552944,13.241622732552944,11.813957644535789,12.564382092753105,11.484049682780805,11.484049682780805,10.442051648646231
32994,West Virginia,WV,Clay County,54015,2008,9.03,8.01,9.79,8.05,6.11,9.49,46.48,27.95,81.71,59.29,64.7,22.89,25.46,30144.89,23728.89,17585.22,30825.44,34666.62,27288.22,20223.01,35449.26,10091,98.21,97.67,0.46,0.08,0.0,0.0,0.01,1.79,0.04,3855,151,227,7,256.0,534,416,69,302.0,19.12,14.29,26.11,19.13,10.81,31.2,23.11,13.52,37.02,21.92,36.46,0.84,16.72,24.92,4.83,65.0,54.16,77.65,70.59,90.27,72.22,72.22,98.83,86.19,81.18,61.39,54.16,54.16,70.59,70.59,70.59,1-100K,1.1499998838940864,5398.145454994197,4318.755563971208,4318.755563971208,3886.999607562012,3671.1216293574143,3238.767673008593,3238.767673008593,3238.767673008593,15.571594389629553,12.457965512562827,12.457965512562827,11.212513961736136,10.589788186322792,9.34261163334814,9.34261163334814,9.34261163334814
6888,Illinois,IL,Grundy County,17063,2011,9.71,7.7,11.42,8.9,6.5,11.0,73.2,73.4,79.3,70.4,87.2,5.5,7.4,64592.0,33348.0,23203.0,46727.0,72343.04,37349.76,25987.36,52334.24,49460,98.8,95.4,1.2,0.1,0.6,0.0,1.5,1.2,8.0,18297,2030,891,102,816.0,4134,1983,145,1855.0,28.94,25.13,33.27,16.55,14.19,19.24,26.52,13.66,41.14,12.09,22.04,0.78,15.9,24.98,5.57,62.38,52.33,87.5,91.75,151.43,130.0,113.98,159.25,142.5,127.5,102.5,102.5,99.5,117.38,112.8,106.5,1-100K,1.1199999999999999,8819.2832,7571.199999999999,6638.195199999999,3633.0112,5969.599999999999,5969.599999999999,5794.879999999999,3047.6991999999996,12.19092147634382,10.465692345801338,9.175997027495665,5.021922219469904,8.251795888035671,8.251795888035671,8.010279910824869,4.2128436958137225
