Collection Order,Collection Name,Table Order,Table Group,Web Table ID,Figure Order,Figure Number,Figure Name,Wave,Year,Number Sold,Retail Price,Average Price,Difference,High Price,Unique ID,Detail Reference
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,1,01,Luke Skywalker (X-Wing Pilot),1,2013,7,$19.99,$19.74,$-0.25,$30.00,697efbd72af78107269fbb094b02601b,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/luke-skywalker-x-wing-pilot-1.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,2,02,Darth Maul ( $-5.96),1,2013,14,$19.99,$33.17,+$13.18,$70.00,6268220933c0c52fdb4379aea3b1d311,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/darth-maul-2.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,3,03,Sandtrooper,1,2013,7,$19.99,$34.85,+$14.86,$69.97,b092faf8dd108d3f802b0bf97aae8bef,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/sandtrooper-3.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,4,04,R2-D2,1,2013,11,$19.99,$46.85,+$26.86,$55.00,e77aa955b579601d0bc73d2013d59322,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/r2-d2-4.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,5,05,Princess Leia (Slave Outfit) ( $2.90),2,2013,16,$19.99,$67.84,+$47.85,$83.29,a1c1372044e9c345828e2d6aa033c859,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/princess-leia-slave-outfit-5.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,6,06,Boba Fett,2,2013,1,$19.99,$24.99,+$5.00,$24.99,f8b296adbceeb548aec2479d0d9a7250,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/boba-fett-6.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,7,07,Greedo,2,2013,4,$19.99,$30.00,+$10.01,$32.00,a54b9af652cef9d0b8d6b5b316a5f8a3,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/greedo-7.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,8,08,Han Solo (ANH),2,2013,9,$19.99,$19.41,$-0.58,$25.00,0e9099d9029a3ff8f9010faa0e294465,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/han-solo-anh-8.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,9,09,Stormtrooper,3,2014,10,$19.99,$18.74,$-1.25,$24.95,92a8f0bccc62ae2abc362da6b477c43a,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/stormtrooper-9.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,10,10,Obi Wan Kenobi (Orange Line),3,2014,3,$19.99,$24.00,+$4.01,$29.99,c54cb941bf91570ad3c42b5d9bfbc6cb,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/obi-wan-kenobi-orange-line-10.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,11,11,Luke Skywalker (Bespin),3,2014,2,$19.99,$18.99,$-1.00,$22.99,51c4b5738f92ad5ab3a13e7d5520f76c,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/luke-skywalker-bespin-11.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,12,12,Anakin Skywalker,4,2014,6,$19.99,$83.50,+$63.51,$125.00,02c29d45f0583b37b6ff908367767142,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/anakin-skywalker-12.php
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,13,14,Clone Trooper,4,2014,4,$19.99,$13.87,$-6.12,$19.99,9edf7b1629ceb249edded1f8a3cc9a84,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/clone-trooper-13.php
1,"6"" Black Series",2,Blue Wave 2014-2015,groupTable2,14,01,Sandtrooper Corporal,5,2014,7,$19.99,$34.96,+$14.97,$59.00,32b8c3fd112e6319b83c703372ac04ab,https://www.actionfigure411.com/star-wars/6-black-series/blue-wave-2014-2015/sandtrooper-corporal-14.php
1,"6"" Black Series",2,Blue Wave 2014-2015,groupTable2,15,02,Darth Vader,5,2014,8,$19.99,$18.16,$-1.83,$26.69,41f70c5248cc48d100d0bb88f96871ce,https://www.actionfigure411.com/star-wars/6-black-series/blue-wave-2014-2015/darth-vader-15.php
