collection_order,collection_name,table_order,table_group,web_table_id,figure_order,figure_number,figure_name,wave,year,number_sold,retail_price,average_price,difference,high_price,unique_id,detail_reference,year_datetime,matched_character_name,similarity_score
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,1,01,Luke Skywalker (X-Wing Pilot),1,2013,7,19.99,19.74,-0.25,30.0,697efbd72af78107269fbb094b02601b,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/luke-skywalker-x-wing-pilot-1.php,2013-01-01,Luke Skywalker,0.8305905453308053
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,2,02,Darth Maul ( $-5.96),1,2013,14,19.99,33.17,13.18,70.0,6268220933c0c52fdb4379aea3b1d311,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/darth-maul-2.php,2013-01-01,Maul,0.7534510784814418
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,4,04,R2-D2,1,2013,11,19.99,46.85,26.86,55.0,e77aa955b579601d0bc73d2013d59322,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/r2-d2-4.php,2013-01-01,R2-D2,1.0
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,6,06,Boba Fett,2,2013,1,19.99,24.99,5.0,24.99,f8b296adbceeb548aec2479d0d9a7250,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/boba-fett-6.php,2013-01-01,Boba Fett,1.0
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,7,07,Greedo,2,2013,4,19.99,30.0,10.01,32.0,a54b9af652cef9d0b8d6b5b316a5f8a3,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/greedo-7.php,2013-01-01,Greedo,1.0
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,8,08,Han Solo (ANH),2,2013,9,19.99,19.41,-0.58,25.0,0e9099d9029a3ff8f9010faa0e294465,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/han-solo-anh-8.php,2013-01-01,Han Solo,1.0000000000000002
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,10,10,Obi Wan Kenobi (Orange Line),3,2014,3,19.99,24.0,4.01,29.99,c54cb941bf91570ad3c42b5d9bfbc6cb,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/obi-wan-kenobi-orange-line-10.php,2014-01-01,Obi-Wan Kenobi,1.0
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,11,11,Luke Skywalker (Bespin),3,2014,2,19.99,18.99,-1.0,22.99,51c4b5738f92ad5ab3a13e7d5520f76c,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/luke-skywalker-bespin-11.php,2014-01-01,Luke Skywalker,1.0000000000000002
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,12,12,Anakin Skywalker,4,2014,6,19.99,83.5,63.51,125.0,02c29d45f0583b37b6ff908367767142,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/anakin-skywalker-12.php,2014-01-01,Anakin Skywalker,1.0000000000000002
1,"6"" Black Series",1,Orange Wave 2013,groupTable1,13,14,Clone Trooper,4,2014,4,19.99,13.87,-6.12,19.99,9edf7b1629ceb249edded1f8a3cc9a84,https://www.actionfigure411.com/star-wars/6-black-series/orange-wave-2013/clone-trooper-13.php,2014-01-01,Clone X trooper,1.0
