filter,id,slug,title,href,content_type,content_slug,property_name
Characters,616b34b4f2d1d492a01ad05b,hyper-rod,"""Hyper"" Rod",https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Characters,616b34b7e840b492a01ad05b,quick-draw-quasar,"""Quick-Draw"" Quasar",https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Characters,616b34bae19c8492a01ad05b,steel-claw-kane,"""Steel Claw"" Kane",https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Characters,616b34b66ea8f492a01ad05b,the-trickster-flash-raktor,"""The Trickster"" Flash Raktor",https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Characters,616b31bd480c1492a01ad05b,2br-ntb,2BR-NTB,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Characters,616b29405ac17492a01ad05b,4-lom,4-LOM,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Characters,616b30e9984af492a01ad05b,4d-m1n,4D-M1N,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Characters,616b31f3538ff492a01ad05b,5-l,5-L,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Characters,616b2941d64fd492a01ad05b,8d8,8D8,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Characters,616b2303c9682492a01ad05b,aayla-secura,Aayla Secura,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Characters,616b2303c9682492a01ad05b,aayla-secura,Aayla Secura,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Characters,616b2303c9682492a01ad05b,aayla-secura,Aayla Secura,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Characters,616b23109dba0492a01ad05b,adi-gallia,Adi Gallia,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Characters,616b23109dba0492a01ad05b,adi-gallia,Adi Gallia,https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Characters,616b23109dba0492a01ad05b,adi-gallia,Adi Gallia,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
