filter,id,slug,title,href,name,gender,dimensions,species
Characters,616b34b4f2d1d492a01ad05b,hyper-rod,"""Hyper"" Rod",https://www.starwars.com/databank/hyper-rod,"""Hyper"" Rod",,,
Characters,616b34b7e840b492a01ad05b,quick-draw-quasar,"""Quick-Draw"" Quasar",https://www.starwars.com/databank/quick-draw-quasar,"""Quick-Draw"" Quasar",,,
Characters,616b34bae19c8492a01ad05b,steel-claw-kane,"""Steel Claw"" Kane",https://www.starwars.com/databank/steel-claw-kane,"""Steel Claw"" Kane",,,nikto
Characters,616b34b66ea8f492a01ad05b,the-trickster-flash-raktor,"""The Trickster"" Flash Raktor",https://www.starwars.com/databank/the-trickster-flash-raktor,"""The Trickster"" Flash Raktor",,,
Characters,616b31bd480c1492a01ad05b,2br-ntb,2BR-NTB,https://www.starwars.com/databank/2br-ntb,2BR-NTB,,,
Characters,616b29405ac17492a01ad05b,4-lom,4-LOM,https://www.starwars.com/databank/4-lom,4-LOM,,Height: 1.6m,
Characters,616b30e9984af492a01ad05b,4d-m1n,4D-M1N,https://www.starwars.com/databank/4d-m1n,4D-M1N,,,
Characters,616b31f3538ff492a01ad05b,5-l,5-L,https://www.starwars.com/databank/5-l,5-L,,,
Characters,616b2941d64fd492a01ad05b,8d8,8D8,https://www.starwars.com/databank/8d8,8D8,,Height: 1.83m,
Characters,616b2303c9682492a01ad05b,aayla-secura,Aayla Secura,https://www.starwars.com/databank/aayla-secura,Aayla Secura,female,Height: 1.7m,twi-lek
Characters,616b23109dba0492a01ad05b,adi-gallia,Adi Gallia,https://www.starwars.com/databank/adi-gallia,Adi Gallia,female,Height: 1.74m,tholothian
Characters,616b22cce243c492a01ad05b,admiral-ackbar,Admiral Ackbar,https://www.starwars.com/databank/admiral-ackbar,Admiral Ackbar,male,Height: 1.8m,mon-calamari
Characters,616b22da097f8492a01ad05b,admiral-coburn,Admiral Coburn,https://www.starwars.com/databank/admiral-coburn,Admiral Coburn,male,Height: 1.81m,
Characters,616b2f2bcfc94492a01ad05b,admiral-garrick-versio,Admiral Garrick Versio,https://www.starwars.com/databank/admiral-garrick-versio,Admiral Garrick Versio,male,,human
Characters,616b321a5c507492a01ad05b,admiral-griss,Admiral Griss,https://www.starwars.com/databank/admiral-griss,Admiral Griss,male,,human
Characters,616b329743577492a01ad05b,admiral-karius,Admiral Karius,https://www.starwars.com/databank/admiral-karius,Admiral Karius,,,
Characters,616b29e86ca28492a01ad05b,admiral-kassius-konstantine,Admiral Kassius Konstantine,https://www.starwars.com/databank/admiral-kassius-konstantine,Admiral Kassius Konstantine,male,,
Characters,616b22dba29ea492a01ad05b,admiral-kilian,Admiral Kilian,https://www.starwars.com/databank/admiral-kilian,Admiral Kilian,male,Height: 1.72m,
Characters,616b22dd460f0492a01ad05b,admiral-motti,Admiral Motti,https://www.starwars.com/databank/admiral-motti,Admiral Motti,male,Height: 1.7m,human
