era_key,era_name,movie_or_series_key,movie_or_series_name,media_type,live_action_or_animated
day-of-the-jedi,"Dawn Of The Jedi",,,,,
the-old-republic,"The Old Republic",,,,
the-high-republic,"The High Republic",star-wars-the-high-republic,"Star Wars: The High Republic",books,,
the-high-republic,"The High Republic",star-wars-young-jedi-adventures,"Star Wars: Young Jedi Adventures",series,animated
the-high-republic,"The High Republic",the-acolyte,"Star Wars: The Acolyte",series,live
fall-of-the-jedi,"Fall Of The Jedi",star-wars-episode-i-the-phantom-menace,"Star Wars: The Phantom Menace (Episode I)",films,live
fall-of-the-jedi,"Fall Of The Jedi",tales-of-the-jedi,"Star Wars: Tales of the Jedi",series,animated
fall-of-the-jedi,"Fall Of The Jedi",star-wars-episode-ii-attack-of-the-clones,"Star Wars: Attack Of The Clones (Episode II)",films,live
fall-of-the-jedi,"Fall Of The Jedi",star-wars-the-clone-wars,"Star Wars: The Clone Wars",series,animated
fall-of-the-jedi,"Fall Of The Jedi",star-wars-episode-iii-revenge-of-the-sith,"Star Wars: Revenge of the Sith (Episode III)",films,live
reign-of-the-empire,"Reign Of The Empire",tales-of-the-empire,"Star Wars: Tales of the Empire",series,animated
reign-of-the-empire,"Reign Of The Empire",star-wars-the-bad-batch,"Star Wars: The Bad Batch",series,animated
reign-of-the-empire,"Reign Of The Empire",star-wars-jedi-fallen-order,"Star Wars: Jedi Fallen Order",games-apps,animated
reign-of-the-empire,"Reign Of The Empire",solo,"Star Wars: SOLO",films,live
reign-of-the-empire,"Reign Of The Empire",obi-wan-kenobi,"Star Wars: Obi-Wan Kenobi",series,live
reign-of-the-empire,"Reign Of The Empire",star-wars-jedi-survivor,"Star Wars: Jedi Survivor",games-apps,animated
reign-of-the-empire,"Reign Of The Empire",andor,"Star Wars: Andor",series,live
reign-of-the-empire,"Reign Of The Empire",star-wars-rebels,"Star Wars: Rebels",series,animated
reign-of-the-empire,"Reign Of The Empire",vader-immortal-episode-i,"Star Wars: Vader Immortal",interactive,virtual-reality
reign-of-the-empire,"Reign Of The Empire",rogue-one,"Star Wars: Rogue One",films,live
age-of-rebellion,"Age of Rebellion",star-wars-episode-iv-a-new-hope,"Star Wars: A New Hope (Episode IV)",films,live
age-of-rebellion,"Age of Rebellion",star-wars-episode-v-the-empire-strikes-back,"Star Wars: The Empire Strikes Back (Episode V)",films,live
age-of-rebellion,"Age of Rebellion",star-wars-outlaws,"Star Wars: Outlaws",games-apps,animated
age-of-rebellion,"Age of Rebellion",star-wars-episode-vi-return-of-the-jedi,"Star Wars: Return of the Jedi (Episode VI)",films,live
age-of-rebellion,"Age of Rebellion",star-wars-battlefront,"Star Wars: Battlefront",games-apps,animated
age-of-rebellion,"Age of Rebellion",star-wars-battlefront-ii,"Star Wars: Battlefront II",games-apps,animated
age-of-rebellion,"Age of Rebellion",star-wars-squadrons,"Star Wars: Squadrons",games-apps,animated
the-new-republic,"The New Republic",star-wars-hunters,"Star Wars: Hunters",games-apps,animated
the-new-republic,"The New Republic",the-mandalorian,"Star Wars: The Mandalorian",series,live
the-new-republic,"The New Republic",the-book-of-boba-fett,"Star Wars: The Book of Boba Fett",series,live
the-new-republic,"The New Republic",star-wars-ahsoka,"Star Wars: Ahsoka",series,live
the-new-republic,"The New Republic",star-wars-skeleton-crew,"Star Wars: Skeleton Crew",series,live
rise-of-the-first-order,"Rise Of The First Order",star-wars-resistance,"Star Wars: Resistance",series,animated
rise-of-the-first-order,"Rise Of The First Order",star-wars-episode-vii-the-force-awakens,"Star Wars: The Force Awakens (Episode VII)",films,live
rise-of-the-first-order,"Rise Of The First Order",star-wars-episode-viii-the-last-jedi,"Star Wars: The Last Jedi (Episode VIII)",films,live
rise-of-the-first-order,"Rise Of The First Order",star-wars-tales-from-the-galaxy-s-edge,"Star Wars: Tales From The Galaxies Edge",games-apps,animated
rise-of-the-first-order,"Rise Of The First Order",star-wars-episode-ix-the-rise-of-skywalker,"Star Wars: The Rise of Skywalker (Episode IX)",films,live
new-jedi-order,"New Jedi Order",,,,,
