filter,id,slug,title,href,Name,Appearances,Affiliations,Locations,Gender,Dimensions,species,Vehicles,Weapons,Terrain,Climate,Creature,droid
Characters,616b34b4f2d1d492a01ad05b,hyper-rod,"""Hyper"" Rod",https://www.starwars.com/databank/hyper-rod,"""Hyper"" Rod","(('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b34b7e840b492a01ad05b,quick-draw-quasar,"""Quick-Draw"" Quasar",https://www.starwars.com/databank/quick-draw-quasar,"""Quick-Draw"" Quasar","(('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b34bae19c8492a01ad05b,steel-claw-kane,"""Steel Claw"" Kane",https://www.starwars.com/databank/steel-claw-kane,"""Steel Claw"" Kane","(('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'),)",(),(),(),(),"(('species', 'nikto', 'Nikto'),)",(),(),(),(),(),()
Characters,616b34b66ea8f492a01ad05b,the-trickster-flash-raktor,"""The Trickster"" Flash Raktor",https://www.starwars.com/databank/the-trickster-flash-raktor,"""The Trickster"" Flash Raktor","(('series', 'star-wars-the-bad-batch', 'Star Wars: The Bad Batch'),)",(),(),(),(),(),(),(),(),(),(),"(('databank', 'protocol-droid', 'Protocol Droid'),)"
Characters,616b31bd480c1492a01ad05b,2br-ntb,2BR-NTB,https://www.starwars.com/databank/2br-ntb,2BR-NTB,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b29405ac17492a01ad05b,4-lom,4-LOM,https://www.starwars.com/databank/4-lom,4-LOM,"(('films', 'star-wars-episode-v-the-empire-strikes-back', 'Star Wars: The Empire Strikes Back (Episode V)'),)",(),(),(),"(('Dimensions', 'height-1-6m', 'Height: 1.6m'),)",(),(),"(('databank', 'blaster-rifle', 'Blaster Rifle'),)",(),(),(),"(('databank', 'protocol-droid', 'Protocol Droid'),)"
Characters,616b30e9984af492a01ad05b,4d-m1n,4D-M1N,https://www.starwars.com/databank/4d-m1n,4D-M1N,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b31f3538ff492a01ad05b,5-l,5-L,https://www.starwars.com/databank/5-l,5-L,"(('series', 'star-wars-resistance', 'Star Wars Resistance'),)",(),(),(),(),(),(),(),(),(),(),()
Characters,616b2941d64fd492a01ad05b,8d8,8D8,https://www.starwars.com/databank/8d8,8D8,"(('films', 'star-wars-episode-vi-return-of-the-jedi', 'Star Wars: Return of the Jedi (Episode VI)'),)",(),"(('databank', 'tatooine', 'Tatooine'),)",(),"(('Dimensions', 'height-1-83m', 'Height: 1.83m'),)",(),(),(),(),(),(),"(('databank', 'smelter-droid', 'Smelter Droid'),)"
Characters,616b2303c9682492a01ad05b,aayla-secura,Aayla Secura,https://www.starwars.com/databank/aayla-secura,Aayla Secura,"(('films', 'star-wars-episode-ii-attack-of-the-clones', 'Star Wars: Attack of the Clones (Episode II)'), ('films', 'star-wars-episode-iii-revenge-of-the-sith', 'Star Wars: Revenge of the Sith (Episode III)'), ('series', 'star-wars-the-clone-wars', 'Star Wars: The Clone Wars'))","(('databank', 'jedi-order', 'Jedi Order'),)","(('databank', 'ryloth', 'Ryloth'),)","(('Gender', 'female', 'Female'),)","(('Dimensions', 'height-1-7m', 'Height: 1.7m'),)","(('databank', 'twi-lek', ""Twi'lek""),)",(),"(('databank', 'lightsaber', 'Lightsaber'),)",(),(),(),()
