uuid_character,character_name,appearance,figure_collection_name,accessory_count,exclusive,joint_count,msrp,released,scale_inches,variations recorded,year_imprinted,currency,appearance_type,appearance_name,appearance_year,appearance_link,character_detail_link
e772c1afc9878ef18b15657a2f5aff24,Adi Gallia,The Phantom Menace,The Phantom Menace,2.0,No,7.0,6.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=984
9ee6527e8bb248394d15e3ada5220b0b,Adi Gallia,The Phantom Menace,Jedi Council Set #3,3.0,No,9.0,,2004.0,3.75,No,2004.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=2272
86b511887530437ea34f7ddfde18e366,Anakin Skywalker,The Phantom Menace,Jedi Council Set #3,2.0,No,10.0,,2004.0,3.75,No,1999.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=2270
39b0bf8757a9a01c1cad3e7a0a19a719,Anakin Skywalker,The Phantom Menace,Evolution To Darth Vader 4-Pack,2.0,No,14.0,,2013.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=2154
1658eaa4755c3a6e614819ee9101730e,Anakin Skywalker,The Phantom Menace,The Phantom Menace,4.0,No,14.0,13.99,2022.0,3.75,No,,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=28191
87ab1143497616f2a875974ff86c37f8,Anakin Skywalker,The Phantom Menace,,1.0,Fan Channel,15.0,24.99,2024.0,6.0,No,2024.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=30656
fe51eeaf9e64609bb6798475e9cd50e2,Anakin Skywalker,The Phantom Menace,Mos Espa Arena,2.0,Walmart,10.0,,2012.0,3.75,No,1999.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1016
15734c84c391295e277ed9c5b2be2bb7,Anakin Skywalker,The Phantom Menace,The Rise Of Darth Vader,1.0,Target,10.0,,2012.0,3.75,No,1999.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1051
21ab08358b641d90e3042c45b7a48d7c,Anakin Skywalker,The Phantom Menace,Backpack Fires Missile!,2.0,No,6.0,,2012.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1094
99916ec5145166dc7b1c869b3817b3be,Anakin Skywalker,The Phantom Menace,Mos Espa Encounter,0.0,No,6.0,19.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=976
1099a6515d401802ad9026fea095b8ab,Anakin Skywalker,The Phantom Menace,Tatooine,2.0,No,6.0,6.99,1999.0,3.75,No,1998.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=946
7c4a79d832040088628af22421a5b3fd,Anakin Skywalker,The Phantom Menace,With Pod Racer,0.0,No,6.0,22.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=947
7a47098a71dde7a368a859508e873ec4,Anakin Skywalker,The Phantom Menace,With Naboo Fighter Game,0.0,No,6.0,24.99,1999.0,3.75,No,1998.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=948
a692f3b718d4a8b74e183b525076cfee,Anakin Skywalker,The Phantom Menace,Naboo,2.0,No,6.0,6.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=949
42920331ad6acf431188d43e5447f0ba,Anakin Skywalker,The Phantom Menace,Naboo Pilot,2.0,No,6.0,6.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=950
d348864223b68268119a4f378227d4bd,Anakin Skywalker,The Phantom Menace,Tatooine Showdown,1.0,No,6.0,19.99,1999.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=958
3087af8a87e14bc37bc857169b28c0a0,Anakin Skywalker,The Phantom Menace,Mechanic,1.0,No,10.0,5.99,2000.0,3.75,No,1999.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=772
417239217abd860968aa64251a59caa7,Anakin Skywalker,The Phantom Menace,The Phantom Menace,4.0,No,14.0,8.99,2012.0,3.75,No,2011.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=908
bd1f1b05051525caf9f21289260ae506,Aurra Sing,The Phantom Menace,Bounty Hunter,2.0,No,5.0,5.99,2001.0,3.75,No,2000.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=759
20a08c09d2a4e31d0e7bb1ce0d66b62c,Aurra Sing,The Phantom Menace,The Phantom Menace,8.0,Walmart,12.0,,2012.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=954
ccba3ce057f3a0d3c601d0dec1f7770a,Aurra Sing,The Phantom Menace,The Phantom Menace,9.0,Online Stores,12.0,8.99,2012.0,3.75,No,2011.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1322
dc529ff8575b6f24adf7442241e29e61,Aurra Sing,The Phantom Menace,Ultimate Bounty 4-Pack,3.0,Toys'R'Us,5.0,,2003.0,3.75,No,2000.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=3627
65d41a2c6c5a52a025135a6351e59d43,Battle Droid,The Phantom Menace,Naboo Final Combat 4-Pack,3.0,Toys'R'Us,9.0,,2004.0,3.75,No,2000.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=4708
ddf1e3875e300547d921a702611f65e2,Battle Droid,The Phantom Menace,,4.0,Best Buy,21.0,24.99,2021.0,6.0,No,,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=26011
d8ad82724cf4702555a42219f315a6b2,Battle Droid,The Phantom Menace,The Phantom Menace,3.0,No,12.0,13.99,2021.0,3.75,No,2011.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=25964
8eb5e2312b19b1454874f29b312fd488,Battle Droid,The Phantom Menace,The Phantom Menace,4.0,No,21.0,19.99,2019.0,6.0,No,,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=20333
d3a9ec199df5f5d76bc28743039f333f,Battle Droid,The Phantom Menace,Battle Droid 2-Pack (1 of 4),3.0,No,5.0,5.99,2007.0,3.75,No,2002.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=22549
b4141ab91082c42d2e4bd9554b2eccb8,Battle Droid,The Phantom Menace,Battle Droid 2-Pack (1 of 4),3.0,No,5.0,5.99,2007.0,3.75,No,2002.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=22550
52455c5434187bc50287b2fe9d73bfe5,Battle Droid,The Phantom Menace,Battle Droid 2-Pack (3 of 4),3.0,No,5.0,6.99,2007.0,3.75,No,2002.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=22557
35ae79efe06de2a1d05c729a0087beb6,Battle Droid,The Phantom Menace,Battle Droid 2-Pack (3 of 4),3.0,No,5.0,6.99,2007.0,3.75,No,2002.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=22558
e2f55f357d708f58dba11b3a998329b5,Battle Droid,The Phantom Menace,With Multi Troop Transport,1.0,No,2.0,,2012.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1367
a322bad3c9e28506e00e11a8bf96dc46,Battle Droid,The Phantom Menace,With Multi Troop Transport,1.0,No,5.0,,2012.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1368
bc33235953823c3255148975b79e6c8c,Battle Droid,The Phantom Menace,With STAP,1.0,No,9.0,,2012.0,3.75,No,1998.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1370
bfe5ee38b599ca57b3b1da6cb8203b87,Battle Droid,The Phantom Menace,The Phantom Menace,3.0,No,5.0,,2012.0,3.75,No,2011.0,,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1047
a7b52ee9e7fc156a8530101dd143b90d,Battle Droid,The Phantom Menace,Dirty,2.0,No,10.0,6.99,1999.0,3.75,No,1998.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1000
af1ab59205678fb310ce6d8222ff8319,Battle Droid,The Phantom Menace,With STAP,1.0,No,10.0,11.99,1999.0,3.75,No,1998.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1001
aab577d8ea147bca1a3900ce0f46889a,Battle Droid,The Phantom Menace,Clean,2.0,No,10.0,6.99,1999.0,3.75,No,1998.0,USD,MOVIES,The Phantom Menace,(1999),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=tpm,https://galacticfigures.com/figureDetails.aspx?id=1002
