id,name,gender,species,dimension type,dimension size,character databank link,media type,media key,appearance name
616b34b4f2d1d492a01ad05b,"""Hyper"" Rod",unknown,unknown,,unknown,https://www.starwars.com/databank/hyper-rod,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
616b34b7e840b492a01ad05b,"""Quick-Draw"" Quasar",unknown,unknown,,unknown,https://www.starwars.com/databank/quick-draw-quasar,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
616b34bae19c8492a01ad05b,"""Steel Claw"" Kane",unknown,nikto,,unknown,https://www.starwars.com/databank/steel-claw-kane,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
616b34b66ea8f492a01ad05b,"""The Trickster"" Flash Raktor",unknown,unknown,,unknown,https://www.starwars.com/databank/the-trickster-flash-raktor,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
616b31bd480c1492a01ad05b,2BR-NTB,unknown,unknown,,unknown,https://www.starwars.com/databank/2br-ntb,series,star-wars-resistance,Star Wars Resistance
616b29405ac17492a01ad05b,4-LOM,unknown,unknown,Height,1.6m,https://www.starwars.com/databank/4-lom,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
616b30e9984af492a01ad05b,4D-M1N,unknown,unknown,,unknown,https://www.starwars.com/databank/4d-m1n,series,star-wars-resistance,Star Wars Resistance
616b31f3538ff492a01ad05b,5-L,unknown,unknown,,unknown,https://www.starwars.com/databank/5-l,series,star-wars-resistance,Star Wars Resistance
616b2941d64fd492a01ad05b,8D8,unknown,unknown,Height,1.83m,https://www.starwars.com/databank/8d8,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
616b2303c9682492a01ad05b,Aayla Secura,female,twi-lek,Height,1.7m,https://www.starwars.com/databank/aayla-secura,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
616b2303c9682492a01ad05b,Aayla Secura,female,twi-lek,Height,1.7m,https://www.starwars.com/databank/aayla-secura,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
616b2303c9682492a01ad05b,Aayla Secura,female,twi-lek,Height,1.7m,https://www.starwars.com/databank/aayla-secura,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b23109dba0492a01ad05b,Adi Gallia,female,tholothian,Height,1.74m,https://www.starwars.com/databank/adi-gallia,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
616b23109dba0492a01ad05b,Adi Gallia,female,tholothian,Height,1.74m,https://www.starwars.com/databank/adi-gallia,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
616b23109dba0492a01ad05b,Adi Gallia,female,tholothian,Height,1.74m,https://www.starwars.com/databank/adi-gallia,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b22cce243c492a01ad05b,Admiral Ackbar,male,mon-calamari,Height,1.8m,https://www.starwars.com/databank/admiral-ackbar,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
616b22cce243c492a01ad05b,Admiral Ackbar,male,mon-calamari,Height,1.8m,https://www.starwars.com/databank/admiral-ackbar,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
616b22cce243c492a01ad05b,Admiral Ackbar,male,mon-calamari,Height,1.8m,https://www.starwars.com/databank/admiral-ackbar,films,star-wars-episode-vii-the-force-awakens,Star Wars: The Force Awakens (Episode VII)
616b22cce243c492a01ad05b,Admiral Ackbar,male,mon-calamari,Height,1.8m,https://www.starwars.com/databank/admiral-ackbar,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b22da097f8492a01ad05b,Admiral Coburn,male,unknown,Height,1.81m,https://www.starwars.com/databank/admiral-coburn,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b2f2bcfc94492a01ad05b,Admiral Garrick Versio,male,human,,unknown,https://www.starwars.com/databank/admiral-garrick-versio,games-apps,star-wars-battlefront-ii,Star Wars Battlefront II
616b321a5c507492a01ad05b,Admiral Griss,male,human,,unknown,https://www.starwars.com/databank/admiral-griss,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
616b329743577492a01ad05b,Admiral Karius,unknown,unknown,,unknown,https://www.starwars.com/databank/admiral-karius,interactive,virtual-reality,Vader Immortal: Episode I
616b329743577492a01ad05b,Admiral Karius,unknown,unknown,,unknown,https://www.starwars.com/databank/admiral-karius,interactive,virtual-reality,Vader Immortal: Episode II
616b329743577492a01ad05b,Admiral Karius,unknown,unknown,,unknown,https://www.starwars.com/databank/admiral-karius,interactive,virtual-reality,Vader Immortal: Episode III
616b29e86ca28492a01ad05b,Admiral Kassius Konstantine,male,unknown,,unknown,https://www.starwars.com/databank/admiral-kassius-konstantine,series,star-wars-rebels,Star Wars Rebels
616b22dba29ea492a01ad05b,Admiral Kilian,male,unknown,Height,1.72m,https://www.starwars.com/databank/admiral-kilian,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b22dd460f0492a01ad05b,Admiral Motti,male,human,Height,1.7m,https://www.starwars.com/databank/admiral-motti,films,star-wars-episode-iv-a-new-hope,Star Wars: A New Hope (Episode IV)
616b22e0e9a75492a01ad05b,Admiral Ozzel,male,unknown,Height,1.75m,https://www.starwars.com/databank/admiral-ozzel,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
616b22f42e9cb492a01ad05b,Admiral Piett,male,unknown,Height,1.65m,https://www.starwars.com/databank/admiral-piett,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
616b22f42e9cb492a01ad05b,Admiral Piett,male,unknown,Height,1.65m,https://www.starwars.com/databank/admiral-piett,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
616b2eb65ad56492a01ad05b,Admiral Raddus,male,mon-calamari,Height,1.9m,https://www.starwars.com/databank/admiral-raddus,films,rogue-one,Rogue One: A Star Wars Story
616b2dead6b58492a01ad05b,Admiral Statura,male,human,Height,1.72m,https://www.starwars.com/databank/admiral-statura,films,star-wars-episode-vii-the-force-awakens,Star Wars: The Force Awakens (Episode VII)
616b22f052926492a01ad05b,Admiral Trench,male,harch,Height,1.89m,https://www.starwars.com/databank/admiral-trench,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b34d1dc6eb492a01ad05b,Ady Sun Zee,unknown,unknown,,unknown,https://www.starwars.com/databank/ady-sun-zee,games-apps,star-wars-tales-from-the-galaxy-s-edge,Star Wars: Tales from the Galaxy s Edge
616b304cde9e5492a01ad05b,Aemon Gremm,male,hylobon,Height,1.93m,https://www.starwars.com/databank/aemon-gremm,films,solo,Solo: A Star Wars Story
616b31eec5b42492a01ad05b,Aeosian Queen,unknown,unknown,,unknown,https://www.starwars.com/databank/aeosian-queen,series,star-wars-resistance,Star Wars Resistance
616b31ce1a6b1492a01ad05b,Aftab Ackbar,male,mon-calamari,,unknown,https://www.starwars.com/databank/aftab-ackbar,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
616b2a5fb94b6492a01ad05b,Agen Kolar,male,zabrak,Height,1.7m,https://www.starwars.com/databank/agen-kolar,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
616b2a5fb94b6492a01ad05b,Agen Kolar,male,zabrak,Height,1.7m,https://www.starwars.com/databank/agen-kolar,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
616b2a5fb94b6492a01ad05b,Agen Kolar,male,zabrak,Height,1.7m,https://www.starwars.com/databank/agen-kolar,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b2f2a5de09492a01ad05b,Agent Del Meeko,male,human,,unknown,https://www.starwars.com/databank/agent-del-meeko,games-apps,star-wars-battlefront-ii,Star Wars Battlefront II
616b2f28e2af6492a01ad05b,Agent Gideon Hask,male,human,,unknown,https://www.starwars.com/databank/agent-gideon-hask,games-apps,star-wars-battlefront-ii,Star Wars Battlefront II
616b314159307492a01ad05b,Agent Tierny,female,unknown,,unknown,https://www.starwars.com/databank/agent-tierny,series,star-wars-resistance,Star Wars Resistance
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,the-mandalorian,The Mandalorian
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,the-book-of-boba-fett,The Book of Boba Fett
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,star-wars-rebels,Star Wars Rebels
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,tales-of-the-jedi,Tales of the Jedi
616b22a5101d9492a01ad05b,Ahsoka Tano,female,togruta,Height,1.79m,https://www.starwars.com/databank/ahsoka-tano,series,star-wars-ahsoka,Ahsoka
616b37f0b4fd8492a01ad05b,Ailish,unknown,tarlafar,,unknown,https://www.starwars.com/databank/ailish,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
616b31c971bc4492a01ad05b,Albrekh,male,unknown,,unknown,https://www.starwars.com/databank/albrekh,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
616b2fa65bf71492a01ad05b,Alcida-Auka,female,lanai,,unknown,https://www.starwars.com/databank/alcida-auka,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
616b295df68e1492a01ad05b,Alexsandr Kallus,male,unknown,,unknown,https://www.starwars.com/databank/alexsandr-kallus,series,star-wars-rebels,Star Wars Rebels
616b2c4fbe46a492a01ad05b,Alora,female,human,,unknown,https://www.starwars.com/databank/alora,series,star-wars-rebels,Star Wars Rebels
616b2f03387d2492a01ad05b,Alrich Wren,male,human,,unknown,https://www.starwars.com/databank/alrich-wren,series,star-wars-rebels,Star Wars Rebels
616b2c1cc41d2492a01ad05b,Alton Kastle,male,human,,unknown,https://www.starwars.com/databank/alton-kastle,series,star-wars-rebels,Star Wars Rebels
616b29859541a492a01ad05b,Amda Wabo,male,unknown,,unknown,https://www.starwars.com/databank/amda-wabo,series,star-wars-rebels,Star Wars Rebels
616b2f36ad8a1492a01ad05b,Amilyn Holdo,female,human,,unknown,https://www.starwars.com/databank/amilyn-holdo,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
616b22e8b997a492a01ad05b,Amis,male,unknown,,unknown,https://www.starwars.com/databank/amis,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
616b22adf8ab1492a01ad05b,Anakin Skywalker,unknown,unknown,Height,1.88m,https://www.starwars.com/databank/anakin-skywalker,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
616b22adf8ab1492a01ad05b,Anakin Skywalker,unknown,unknown,Height,1.88m,https://www.starwars.com/databank/anakin-skywalker,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
616b22adf8ab1492a01ad05b,Anakin Skywalker,unknown,unknown,Height,1.88m,https://www.starwars.com/databank/anakin-skywalker,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
