Date,DaysBetweenTracking,WaterInakeMl,ExerciseDuration,PrimaryTypeOfExercise,SleepDurationPriorNight,NumberOfMeetings,DurationOfMeetings,UnplannedWorkInjected,MinutesSpentOnBreak,PerceivedEndOfDayMood
11/17/2019,0,62,25,CARDIO,5,8,420,7,35,POOR
11/18/2019,1,48,30,WEIGHT,6,6,300,5,25,POOR
11/19/2019,1,61,45,CARDIO,8,1,60,1,40,GOOD
11/21/2019,2,28,30,WEIGHT,6,5,240,4,20,POOR
11/22/2019,1,34,45,CARDIO,7,2,90,1.5,45,POOR
11/25/2019,3,38,25,CARDIO,5,6,300,5,20,POOR
11/26/2019,1,55,35,WEIGHT,7,5,240,4,40,NEUTRAL
11/30/2019,4,36,25,CARDIO,5,5,240,4,35,POOR
12/1/2019,1,36,35,WEIGHT,7,4,210,3.5,45,NEUTRAL
12/2/2019,1,35,45,CARDIO,8,1,60,1,40,GOOD
12/3/2019,1,34,50,WEIGHT,10,1,60,1,45,GOOD
12/4/2019,1,64,45,CARDIO,8,1,60,1,50,GOOD
12/6/2019,2,28,30,CARDIO,6,8,420,7,15,POOR
12/7/2019,1,49,45,WEIGHT,7,3,120,2,50,POOR
12/8/2019,1,64,50,CARDIO,9,1,60,1,45,GOOD
12/10/2019,2,42,45,WEIGHT,6,3,120,2,55,POOR
12/11/2019,1,28,60,CARDIO,8,3,120,2,55,GOOD
12/14/2019,3,28,40,CARDIO,5,2,90,1.5,50,POOR
12/18/2019,4,63,35,CARDIO,4,5,240,4,15,POOR
12/19/2019,1,38,45,WEIGHT,7,2,90,1.5,60,POOR
12/20/2019,1,60,50,CARDIO,8,2,90,1.5,40,GOOD
12/22/2019,2,60,60,WEIGHT,7,3,120,2,60,POOR
12/23/2019,1,46,60,CARDIO,8,2,90,1.5,45,GOOD
12/27/2019,4,42,40,CARDIO,5,2,90,1.5,40,POOR
12/28/2019,1,34,60,WEIGHT,7,1,60,1,60,POOR
12/29/2019,1,64,60,CARDIO,8,1,60,1,45,GOOD
12/30/2019,1,33,60,WEIGHT,8,2,90,1.5,60,GOOD
12/31/2019,1,51,50,CARDIO,9,1,60,1,60,GOOD
1/1/2020,1,28,60,WEIGHT,8,2,90,1.5,40,GOOD
1/3/2020,2,35,45,CARDIO,6,1,60,1,45,POOR
1/4/2020,1,49,60,WEIGHT,8,1,60,1,40,GOOD
1/9/2020,5,39,40,CARDIO,4,3,120,2,55,POOR
1/10/2020,1,45,60,WEIGHT,8,1,60,1,45,GOOD
